baker,full_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Manisha,Manisha Parmar,3,3,10,IN,27,Nursery nurse,Leicester,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart
Ryan,Ryan Chong,3,3,5,IN,38,Photographer,Bristol,Spiced Pear Tarte Tatin,UNKNOWN
Sarah-Jane,Sarah-Jane Willis,3,3,8,IN,28,Vicar's wife,"Bewbush, West Sussex",Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
Stuart,Stuart Marston-Smith,3,3,7,IN,26,PE teacher,"Lichfield, Staffordshire",Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
Victoria,Victoria Chester,3,3,4,OUT,50,CEO of the charity Plantlife,Somerset,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
James,James Morton,3,3,1,STAR BAKER,21,Medical student,"Hillswick, Shetland Islands",Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
Natasha,Natasha Stringer,3,3,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,3,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Cathryn,Cathryn Dresser,3,4,3,IN,27,Shop assistant,"Pease Pottage, West Sussex","White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
Danny,Danny Bryden,3,4,2,IN,45,Intensive care consultant,Sheffield,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
James,James Morton,3,4,5,IN,21,Medical student,"Hillswick, Shetland Islands","Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
John,John Whaite,3,4,6,IN,22,Law student,Wigan,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
Manisha,Manisha Parmar,3,4,9,IN,27,Nursery nurse,Leicester,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert
Ryan,Ryan Chong,3,4,7,IN,38,Photographer,Bristol,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
Sarah-Jane,Sarah-Jane Willis,3,4,4,IN,28,Vicar's wife,"Bewbush, West Sussex",Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
Stuart,Stuart Marston-Smith,3,4,8,OUT,26,PE teacher,"Lichfield, Staffordshire",Black Forest Torte,Choca Blocka Mocha Meringue
Brendan,Brendan Lynch,3,4,1,STAR BAKER,63,Recruitment consultant,Sutton Coldfield,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
Natasha,Natasha Stringer,3,4,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,4,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Victoria,Victoria Chester,3,4,NA,NA,50,CEO of the charity Plantlife,Somerset,NA,NA
Brendan,Brendan Lynch,3,5,3,IN,63,Recruitment consultant,Sutton Coldfield,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
Cathryn,Cathryn Dresser,3,5,1,IN,27,Shop assistant,"Pease Pottage, West Sussex",Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
Danny,Danny Bryden,3,5,7,IN,45,Intensive care consultant,Sheffield,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
James,James Morton,3,5,6,IN,21,Medical student,"Hillswick, Shetland Islands",Four Pig Wellington,Sweet Potato Pie
John,John Whaite,3,5,2,IN,22,Law student,Wigan,Venison and Haggis Wellington,Star-Spangled Pecan Pie
Sarah-Jane,Sarah-Jane Willis,3,5,4,IN,28,Vicar's wife,"Bewbush, West Sussex",Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
Manisha,Manisha Parmar,3,5,5,OUT,27,Nursery nurse,Leicester,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie
Ryan,Ryan Chong,3,5,8,STAR BAKER,38,Photographer,Bristol,Curry Spiced Seabass Wellington,Key Lime Pie
Natasha,Natasha Stringer,3,5,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,5,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Stuart,Stuart Marston-Smith,3,5,NA,NA,26,PE teacher,"Lichfield, Staffordshire",NA,NA
Victoria,Victoria Chester,3,5,NA,NA,50,CEO of the charity Plantlife,Somerset,NA,NA
Cathryn,Cathryn Dresser,3,6,3,IN,27,Shop assistant,"Pease Pottage, West Sussex","Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
Danny,Danny Bryden,3,6,2,IN,45,Intensive care consultant,Sheffield,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
James,James Morton,3,6,7,IN,21,Medical student,"Hillswick, Shetland Islands",Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
John,John Whaite,3,6,5,IN,22,Law student,Wigan,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury
Ryan,Ryan Chong,3,6,6,IN,38,Photographer,Bristol,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
Sarah-Jane,Sarah-Jane Willis,3,6,4,IN,28,Vicar's wife,"Bewbush, West Sussex",Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
Brendan,Brendan Lynch,3,6,1,STAR BAKER,63,Recruitment consultant,Sutton Coldfield,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
Manisha,Manisha Parmar,3,6,NA,NA,27,Nursery nurse,Leicester,NA,NA
Natasha,Natasha Stringer,3,6,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,6,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Stuart,Stuart Marston-Smith,3,6,NA,NA,26,PE teacher,"Lichfield, Staffordshire",NA,NA
Victoria,Victoria Chester,3,6,NA,NA,50,CEO of the charity Plantlife,Somerset,NA,NA
Brendan,Brendan Lynch,3,7,4,IN,63,Recruitment consultant,Sutton Coldfield,Chelsea Bunskis,Black Forest Christmas Stollen
Cathryn,Cathryn Dresser,3,7,5,IN,27,Shop assistant,"Pease Pottage, West Sussex",Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
James,James Morton,3,7,1,IN,21,Medical student,"Hillswick, Shetland Islands",Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
John,John Whaite,3,7,3,IN,22,Law student,Wigan,Cherry and Almond Saffron Buns,Marzipan Stollen
Ryan,Ryan Chong,3,7,6,OUT,38,Photographer,Bristol,Lardy Cakes,Char Siu Bao
Sarah-Jane,Sarah-Jane Willis,3,7,7,OUT,28,Vicar's wife,"Bewbush, West Sussex","Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
Danny,Danny Bryden,3,7,2,STAR BAKER,45,Intensive care consultant,Sheffield,Bakewell Chelsea Buns,European Christmas Wreath
Manisha,Manisha Parmar,3,7,NA,NA,27,Nursery nurse,Leicester,NA,NA
Natasha,Natasha Stringer,3,7,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,7,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Stuart,Stuart Marston-Smith,3,7,NA,NA,26,PE teacher,"Lichfield, Staffordshire",NA,NA
Victoria,Victoria Chester,3,7,NA,NA,50,CEO of the charity Plantlife,Somerset,NA,NA
Brendan,Brendan Lynch,3,8,2,IN,63,Recruitment consultant,Sutton Coldfield,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
Danny,Danny Bryden,3,8,4,IN,45,Intensive care consultant,Sheffield,Spiced Almond Drinks Crackers,Gingerbread Big Ben
John,John Whaite,3,8,3,IN,22,Law student,Wigan,Asian Spice Crackers,Gingerbread Roman Coliseum
Cathryn,Cathryn Dresser,3,8,5,OUT,27,Shop assistant,"Pease Pottage, West Sussex",Cheese and Pickle Crackers,Gingerbread Buckingham Palace
James,James Morton,3,8,1,STAR BAKER,21,Medical student,"Hillswick, Shetland Islands","Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
Manisha,Manisha Parmar,3,8,NA,NA,27,Nursery nurse,Leicester,NA,NA
Natasha,Natasha Stringer,3,8,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,8,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Ryan,Ryan Chong,3,8,NA,NA,38,Photographer,Bristol,NA,NA
Sarah-Jane,Sarah-Jane Willis,3,8,NA,NA,28,Vicar's wife,"Bewbush, West Sussex",NA,NA
Stuart,Stuart Marston-Smith,3,8,NA,NA,26,PE teacher,"Lichfield, Staffordshire",NA,NA
Victoria,Victoria Chester,3,8,NA,NA,50,CEO of the charity Plantlife,Somerset,NA,NA
Brendan,Brendan Lynch,3,9,3,IN,63,Recruitment consultant,Sutton Coldfield,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
John,John Whaite,3,9,2,IN,22,Law student,Wigan,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion
Danny,Danny Bryden,3,9,4,OUT,45,Intensive care consultant,Sheffield,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
James,James Morton,3,9,1,STAR BAKER,21,Medical student,"Hillswick, Shetland Islands","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
Cathryn,Cathryn Dresser,3,9,NA,NA,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA
Manisha,Manisha Parmar,3,9,NA,NA,27,Nursery nurse,Leicester,NA,NA
Natasha,Natasha Stringer,3,9,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,9,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Ryan,Ryan Chong,3,9,NA,NA,38,Photographer,Bristol,NA,NA
Sarah-Jane,Sarah-Jane Willis,3,9,NA,NA,28,Vicar's wife,"Bewbush, West Sussex",NA,NA
Stuart,Stuart Marston-Smith,3,9,NA,NA,26,PE teacher,"Lichfield, Staffordshire",NA,NA
Victoria,Victoria Chester,3,9,NA,NA,50,CEO of the charity Plantlife,Somerset,NA,NA
Brendan,Brendan Lynch,3,10,2,Runner-up,63,Recruitment consultant,Sutton Coldfield,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
James,James Morton,3,10,1,Runner-up,21,Medical student,"Hillswick, Shetland Islands",Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
John,John Whaite,3,10,2,WINNER,22,Law student,Wigan,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
Cathryn,Cathryn Dresser,3,10,NA,NA,27,Shop assistant,"Pease Pottage, West Sussex",NA,NA
Danny,Danny Bryden,3,10,NA,NA,45,Intensive care consultant,Sheffield,NA,NA
Manisha,Manisha Parmar,3,10,NA,NA,27,Nursery nurse,Leicester,NA,NA
Natasha,Natasha Stringer,3,10,NA,NA,36,Midwife,"Tamworth, Staffordshire",NA,NA
Peter,Peter Maloney,3,10,NA,NA,43,Sales manager,"Windsor, Berkshire",NA,NA
Ryan,Ryan Chong,3,10,NA,NA,38,Photographer,Bristol,NA,NA
Sarah-Jane,Sarah-Jane Willis,3,10,NA,NA,28,Vicar's wife,"Bewbush, West Sussex",NA,NA
Stuart,Stuart Marston-Smith,3,10,NA,NA,26,PE teacher,"Lichfield, Staffordshire",NA,NA
Victoria,Victoria Chester,3,10,NA,NA,50,CEO of the charity Plantlife,Somerset,NA,NA
Ali,Ali Imdad,4,1,11,IN,25,Charity worker,"Saltley, Birmingham",Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Beca,Beca Lyne-Pirkis,4,1,8,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
Christine,Christine Wallace,4,1,3,IN,66,Director of an engraving company,"Didcot, Oxfordshire","Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
Deborah,Deborah Manger,4,1,9,IN,51,Dentist,Peterborough,Pineapple Cake,'Coffee Time'
Frances,Frances Quinn,4,1,7,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Giant Jam Sandwich,Secret Squirrel Cake
Glenn,Glenn Cosby,4,1,4,IN,37,English Teacher,"Teignmouth, Devon",Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
Howard,Howard Middleton,4,1,6,IN,51,Council Worker,Sheffield,Passion Fruit and Coconut Cake,Black Forest Revisited
Kimberley,Kimberley Wilson,4,1,10,IN,30,Psychologist,London,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake"
Lucy,Lucy Bellamy,4,1,2,IN,38,Horticulturist,"Grimsby, Lincolnshire",Timperley Early Cake,Thyme 'Wildwood' Cake
Mark,Mark Onley,4,1,5,IN,37,Carpenter and Kitchen Fitter,Milton Keynes,Lemon and Poppy Seed Cake,Chocolate Monster
Ruby,Ruby Tandoh,4,1,12,IN,20,History of Art and Philosophy Student,"Southend, Essex",Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
Toby,Toby Waterworth,4,1,13,OUT,30,Web Programmer,"Reading, Berkshire",Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
Robert,Robert Smart,4,1,1,STAR BAKER,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Pecan and Apple Cake,Raspberry Chocolate Cake
Ali,Ali Imdad,4,2,9,IN,25,Charity worker,"Saltley, Birmingham",Italian Grissini,Sweet and Savoury Yin Yang Bread
Beca,Beca Lyne-Pirkis,4,2,11,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
Christine,Christine Wallace,4,2,4,IN,66,Director of an engraving company,"Didcot, Oxfordshire",Mediterranean Breadsticks with Oregano,Double Plaited Loaf
Deborah,Deborah Manger,4,2,8,IN,51,Dentist,Peterborough,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
Frances,Frances Quinn,4,2,2,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Giant Matchsticks,Sailor's Knot
Glenn,Glenn Cosby,4,2,7,IN,37,English Teacher,"Teignmouth, Devon",Rosemary and Parmesan Grissini,Harvest Crown
Howard,Howard Middleton,4,2,10,IN,51,Council Worker,Sheffield,Moroccan Breadsticks,Picasso Sun Bread
Kimberley,Kimberley Wilson,4,2,1,IN,30,Psychologist,London,Nigella Seed and Parmesan Breadsticks,Peace Bread
Mark,Mark Onley,4,2,6,IN,37,Carpenter and Kitchen Fitter,Milton Keynes,Rosemary & Raisin Breadsticks,Sage & Garlic Plait
Robert,Robert Smart,4,2,5,IN,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Twisty Rye Bread Sticks,Tribute Loaf
Lucy,Lucy Bellamy,4,2,12,OUT,38,Horticulturist,"Grimsby, Lincolnshire",Grissini with Salt,Roast Tomato Bread
Ruby,Ruby Tandoh,4,2,3,STAR BAKER,20,History of Art and Philosophy Student,"Southend, Essex",Mexican Breadsticks,White Chocolate and Orange Peacock Bread
Toby,Toby Waterworth,4,2,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Ali,Ali Imdad,4,3,5,IN,25,Charity worker,"Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Beca,Beca Lyne-Pirkis,4,3,10,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
Frances,Frances Quinn,4,3,8,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
Glenn,Glenn Cosby,4,3,1,IN,37,English Teacher,"Teignmouth, Devon",Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
Howard,Howard Middleton,4,3,7,IN,51,Council Worker,Sheffield,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
Kimberley,Kimberley Wilson,4,3,6,IN,30,Psychologist,London,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits
Robert,Robert Smart,4,3,2,IN,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons
Ruby,Ruby Tandoh,4,3,3,IN,20,History of Art and Philosophy Student,"Southend, Essex",Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
Deborah,Deborah Manger,4,3,9,OUT,51,Dentist,Peterborough,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
Mark,Mark Onley,4,3,11,OUT,37,Carpenter and Kitchen Fitter,Milton Keynes,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites
Christine,Christine Wallace,4,3,4,STAR BAKER,66,Director of an engraving company,"Didcot, Oxfordshire",Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
Lucy,Lucy Bellamy,4,3,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Toby,Toby Waterworth,4,3,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Beca,Beca Lyne-Pirkis,4,4,2,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
Christine,Christine Wallace,4,4,7,IN,66,Director of an engraving company,"Didcot, Oxfordshire","Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
Frances,Frances Quinn,4,4,1,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
Glenn,Glenn Cosby,4,4,9,IN,37,English Teacher,"Teignmouth, Devon",Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese)
Howard,Howard Middleton,4,4,5,IN,51,Council Worker,Sheffield,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
Robert,Robert Smart,4,4,3,IN,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
Ruby,Ruby Tandoh,4,4,6,IN,20,History of Art and Philosophy Student,"Southend, Essex",Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
Ali,Ali Imdad,4,4,8,OUT,25,Charity worker,"Saltley, Birmingham",Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
Kimberley,Kimberley Wilson,4,4,4,STAR BAKER,30,Psychologist,London,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie"
Deborah,Deborah Manger,4,4,NA,NA,51,Dentist,Peterborough,NA,NA
Lucy,Lucy Bellamy,4,4,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Mark,Mark Onley,4,4,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA
Toby,Toby Waterworth,4,4,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Beca,Beca Lyne-Pirkis,4,5,5,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
Frances,Frances Quinn,4,5,3,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Millionaire Banoffee Bonus,Biscuit Buttons and Beads
Glenn,Glenn Cosby,4,5,2,IN,37,English Teacher,"Teignmouth, Devon",Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
Howard,Howard Middleton,4,5,8,IN,51,Council Worker,Sheffield,Breakfast Traybake,Japanese Pagoda Tea Tower
Kimberley,Kimberley Wilson,4,5,7,IN,30,Psychologist,London,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
Ruby,Ruby Tandoh,4,5,6,IN,20,History of Art and Philosophy Student,"Southend, Essex",Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
Robert,Robert Smart,4,5,4,OUT,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Blueberry & Orange Traybake,Dalek
Christine,Christine Wallace,4,5,1,STAR BAKER,66,Director of an engraving company,"Didcot, Oxfordshire",Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
Ali,Ali Imdad,4,5,NA,NA,25,Charity worker,"Saltley, Birmingham",NA,NA
Deborah,Deborah Manger,4,5,NA,NA,51,Dentist,Peterborough,NA,NA
Lucy,Lucy Bellamy,4,5,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Mark,Mark Onley,4,5,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA
Toby,Toby Waterworth,4,5,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Beca,Beca Lyne-Pirkis,4,6,6,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Christine,Christine Wallace,4,6,4,IN,66,Director of an engraving company,"Didcot, Oxfordshire",Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
Frances,Frances Quinn,4,6,2,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
Glenn,Glenn Cosby,4,6,5,IN,37,English Teacher,"Teignmouth, Devon",Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
Kimberley,Kimberley Wilson,4,6,3,IN,30,Psychologist,London,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
Howard,Howard Middleton,4,6,7,OUT,51,Council Worker,Sheffield,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
Ruby,Ruby Tandoh,4,6,1,STAR BAKER,20,History of Art and Philosophy Student,"Southend, Essex",Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
Ali,Ali Imdad,4,6,NA,NA,25,Charity worker,"Saltley, Birmingham",NA,NA
Deborah,Deborah Manger,4,6,NA,NA,51,Dentist,Peterborough,NA,NA
Lucy,Lucy Bellamy,4,6,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Mark,Mark Onley,4,6,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA
Robert,Robert Smart,4,6,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA
Toby,Toby Waterworth,4,6,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Beca,Beca Lyne-Pirkis,4,7,1,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Christine,Christine Wallace,4,7,6,IN,66,Director of an engraving company,"Didcot, Oxfordshire",Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
Kimberley,Kimberley Wilson,4,7,4,IN,30,Psychologist,London,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
Ruby,Ruby Tandoh,4,7,2,IN,20,History of Art and Philosophy Student,"Southend, Essex",Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
Glenn,Glenn Cosby,4,7,3,OUT,37,English Teacher,"Teignmouth, Devon",Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
Frances,Frances Quinn,4,7,5,STAR BAKER,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
Ali,Ali Imdad,4,7,NA,NA,25,Charity worker,"Saltley, Birmingham",NA,NA
Deborah,Deborah Manger,4,7,NA,NA,51,Dentist,Peterborough,NA,NA
Howard,Howard Middleton,4,7,NA,NA,51,Council Worker,Sheffield,NA,NA
Lucy,Lucy Bellamy,4,7,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Mark,Mark Onley,4,7,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA
Robert,Robert Smart,4,7,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA
Toby,Toby Waterworth,4,7,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Beca,Beca Lyne-Pirkis,4,8,4,IN,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
Frances,Frances Quinn,4,8,3,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire",'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
Kimberley,Kimberley Wilson,4,8,2,IN,30,Psychologist,London,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
Christine,Christine Wallace,4,8,5,OUT,66,Director of an engraving company,"Didcot, Oxfordshire","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
Ruby,Ruby Tandoh,4,8,1,STAR BAKER,20,History of Art and Philosophy Student,"Southend, Essex",Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
Ali,Ali Imdad,4,8,NA,NA,25,Charity worker,"Saltley, Birmingham",NA,NA
Deborah,Deborah Manger,4,8,NA,NA,51,Dentist,Peterborough,NA,NA
Glenn,Glenn Cosby,4,8,NA,NA,37,English Teacher,"Teignmouth, Devon",NA,NA
Howard,Howard Middleton,4,8,NA,NA,51,Council Worker,Sheffield,NA,NA
Lucy,Lucy Bellamy,4,8,NA,NA,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA
Mark,Mark Onley,4,8,NA,NA,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA
Robert,Robert Smart,4,8,NA,NA,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA
Toby,Toby Waterworth,4,8,NA,NA,30,Web Programmer,"Reading, Berkshire",NA,NA
Frances,Frances Quinn,4,9,2,IN,31,Children's Clothes Designer,"Market Harborough, Leicestershire","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
